# OESM — Dati puliti World Bank — San Marino
# Valori in unità originali (USD per indicatori monetari, % per ratios)
# NON convertiti in EUR — usare script 03 per la conversione
# Generato: 2026-03-23
# Indicatori: 10
# Anni coperti: 1990–2024
# Osservazioni totali: 210
#
country_code,country,year,indicator_id,label_it,label_en,value_original,unit_original,category,eur_convert,source,source_code,source_url,retrieved_date
SMR,San Marino,2023,NE.IMP.GNFS.ZS,Importazioni (% PIL),Imports of goods & services (% GDP),154.990600576481,% PIL,commercio,False,World Bank,NE.IMP.GNFS.ZS,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2015,NE.TRD.GNFS.ZS,Apertura commerciale (% PIL),Trade openness (% GDP),321.364013420909,% PIL,commercio,False,World Bank,NE.TRD.GNFS.ZS,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2016,NE.TRD.GNFS.ZS,Apertura commerciale (% PIL),Trade openness (% GDP),320.146089060708,% PIL,commercio,False,World Bank,NE.TRD.GNFS.ZS,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2017,NE.TRD.GNFS.ZS,Apertura commerciale (% PIL),Trade openness (% GDP),313.85032377067,% PIL,commercio,False,World Bank,NE.TRD.GNFS.ZS,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2018,NE.TRD.GNFS.ZS,Apertura commerciale (% PIL),Trade openness (% GDP),309.487956436918,% PIL,commercio,False,World Bank,NE.TRD.GNFS.ZS,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2019,NE.TRD.GNFS.ZS,Apertura commerciale (% PIL),Trade openness (% GDP),307.264778080283,% PIL,commercio,False,World Bank,NE.TRD.GNFS.ZS,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2020,NE.TRD.GNFS.ZS,Apertura commerciale (% PIL),Trade openness (% GDP),304.903167579063,% PIL,commercio,False,World Bank,NE.TRD.GNFS.ZS,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2021,NE.TRD.GNFS.ZS,Apertura commerciale (% PIL),Trade openness (% GDP),342.470174007962,% PIL,commercio,False,World Bank,NE.TRD.GNFS.ZS,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2022,NE.TRD.GNFS.ZS,Apertura commerciale (% PIL),Trade openness (% GDP),370.436071813414,% PIL,commercio,False,World Bank,NE.TRD.GNFS.ZS,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2023,NE.TRD.GNFS.ZS,Apertura commerciale (% PIL),Trade openness (% GDP),340.983395012486,% PIL,commercio,False,World Bank,NE.TRD.GNFS.ZS,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,1997,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),976606910.602381,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,1998,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1048316225.70471,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,1999,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1109473367.84318,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2000,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1007661366.66959,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2001,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1059529812.37456,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2002,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1148872072.38556,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2003,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1462590266.59186,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2004,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1715340542.988,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2005,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1786514058.22344,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2006,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1909765165.43137,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2007,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),2188654628.38097,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2008,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),2403213305.03601,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2009,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),2064277126.41466,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2010,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1881191925.32503,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2011,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1813717438.69134,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2012,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1604701299.43546,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2013,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1678741475.14095,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2014,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1673911426.17254,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2015,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1419401070.56043,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2016,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1468343139.74326,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
SMR,San Marino,2017,NY.GDP.MKTP.CD,PIL (USD correnti),GDP (current USD),1528620346.31168,USD,macroeconomia,True,World Bank,NY.GDP.MKTP.CD,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SM,2026-03-23
